
NODE_1341196,NODE_1341899
NODE_1337115,NODE_1339378
NODE_1322353,NODE_1346022
NODE_1341195,NODE_1322353
NODE_1341194,NODE_1341195
NODE_1322352,NODE_1341194
NODE_1345819,NODE_1341193
NODE_1341193,NODE_1322352
NODE_1339190,NODE_1319420
NODE_1339189,NODE_1339190
NODE_1346012,NODE_1339189
NODE_1339188,NODE_3990916
NODE_1316155,NODE_1319419
NODE_1339186,NODE_1339187
NODE_1319418,NODE_1339185
NODE_1339198,NODE_1339184
NODE_1339184,NODE_1339183
NODE_1339183,NODE_1319418
NODE_1339185,NODE_1338957
NODE_1338957,NODE_1319417
NODE_1319417,NODE_1339186
NODE_1341360,NODE_1322351
NODE_1322351,NODE_1331536
NODE_1341192,NODE_1341360
NODE_1339187,NODE_1339182
NODE_1339182,NODE_1331537
NODE_1331537,NODE_1316155
NODE_1319419,NODE_1339181
NODE_1339181,NODE_1319416
NODE_1319416,NODE_1339188
NODE_1339191,NODE_1339180
NODE_1339180,NODE_1319053
NODE_1319053,NODE_1339179
NODE_1339179,NODE_1339192
NODE_1335635,NODE_1319415
NODE_1319415,NODE_1339178
NODE_1339178,NODE_1319421
NODE_1319421,NODE_1339177
NODE_1339177,NODE_1339193
NODE_1339193,NODE_1339176
NODE_1339176,NODE_1319414
NODE_1319414,NODE_1339194
NODE_1319422,NODE_1339175
NODE_1339175,NODE_1331533
NODE_1341189,NODE_1322350
NODE_1319179,NODE_1341189
NODE_1341188,NODE_1319179
NODE_1341187,NODE_1341188
NODE_1322168,NODE_1341187
NODE_1341186,NODE_1322168
NODE_1341185,NODE_1341186
NODE_1346022,NODE_1341185
NODE_1346022,NODE_1341184
NODE_1341383,NODE_1321274
NODE_1321274,NODE_1341381
NODE_1331533,NODE_1339174
NODE_1339174,NODE_1339173
NODE_1339173,NODE_1339367
NODE_1339368,NODE_1319413
NODE_1319413,NODE_1331532
NODE_1331532,NODE_1339172
NODE_1339172,NODE_1339369
NODE_1321733,NODE_1342623
NODE_1342451,NODE_1342622
NODE_1321954,NODE_1342621
NODE_1342621,NODE_1341386
NODE_1342620,NODE_1345809
NODE_1338953,NODE_1341389
NODE_1335579,NODE_1338953
NODE_1342619,NODE_1335579
NODE_1341184,NODE_1322167
NODE_1322167,NODE_1341183
NODE_1341183,NODE_1341182
NODE_1341182,NODE_1335644
NODE_1335644,NODE_1322166
NODE_1322166,NODE_1341181
NODE_1341181,NODE_1341180
NODE_1336692,NODE_1322571
NODE_1345789,NODE_1342618
NODE_1342618,NODE_1319721
NODE_1319721,NODE_1342617
NODE_1342617,NODE_1322570
NODE_1322570,NODE_1342616
NODE_1342616,NODE_1345775
NODE_1345775,NODE_1342615
NODE_1341180,NODE_1341178
NODE_1341178,NODE_1341179
NODE_1341179,NODE_1341177
NODE_1341177,NODE_1322165
NODE_1322164,NODE_1341176
NODE_1341175,NODE_1322164
NODE_1340674,NODE_1340675
NODE_1340679,NODE_1340673
NODE_1340673,NODE_1340674
NODE_1321335,NODE_1340679
NODE_1345781,NODE_1330813
NODE_1319045,NODE_1336768
NODE_1336768,NODE_1320968
NODE_1345793,NODE_6290121
NODE_1321267,NODE_1336766
NODE_1336766,NODE_1345351
NODE_1345812,NODE_1337065
NODE_1337064,NODE_1336692
NODE_1341361,NODE_1336609
NODE_1336608,NODE_1341361
NODE_1336607,NODE_1336608
NODE_1345805,NODE_1336606
NODE_1336606,NODE_1339909
NODE_1336135,NODE_1341366
NODE_1342434,NODE_1338475
NODE_1338473,NODE_1339207
NODE_1338472,NODE_1342619
NODE_1338471,NODE_1319177
NODE_1346010,NODE_1338470
NODE_1338470,NODE_1339198
NODE_1345834,NODE_1322191
NODE_1345775,NODE_1318568
NODE_1318568,NODE_1318567
NODE_1318567,NODE_1318566
NODE_1318566,NODE_1341375
NODE_1341375,NODE_1318565
NODE_1318565,NODE_4577632
NODE_1339926,NODE_1318203
NODE_1318203,NODE_1339927
NODE_1346004,NODE_1318118
NODE_1318118,NODE_1318119
NODE_1322037,NODE_1330079
NODE_1330079,NODE_1341540
NODE_1335586,NODE_1340672
NODE_1340672,NODE_1321335
NODE_1340722,NODE_1335586
NODE_1322568,NODE_1335589
NODE_1342611,NODE_1322568
NODE_1322191,NODE_1342610
NODE_1342610,NODE_1342611
NODE_1342433,NODE_1342609
NODE_1342609,NODE_1337064
NODE_1342622,NODE_1322567
NODE_1322567,NODE_1335766
NODE_1335766,NODE_1341912
NODE_1342432,NODE_1342608
NODE_1322566,NODE_1342432
NODE_1342606,NODE_1342607
NODE_1346006,NODE_1342605
NODE_1336673,NODE_1342604
NODE_1342604,NODE_1346007
NODE_1346007,NODE_1322565
NODE_1341174,NODE_1341175
NODE_1330774,NODE_1339204
NODE_1339204,NODE_1341173
NODE_1341173,NODE_1341174
NODE_1341172,NODE_1330774
NODE_1341171,NODE_1341172
NODE_1322163,NODE_1341171
NODE_1319574,NODE_1322163
NODE_1341170,NODE_1319574
NODE_1342603,NODE_1345828
NODE_1342602,NODE_1342603
NODE_1342601,NODE_1342602
NODE_1322564,NODE_1342601
NODE_1320959,NODE_1319539
NODE_1319539,NODE_1346015
NODE_1342605,NODE_1330071
NODE_1330071,NODE_1336673
NODE_1328143,NODE_1320966
